valid,station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth,H,Date,HE,MWh
2020-08-25 00:00:00,BDL,2020-08-25 00:55:00,-72.6825,41.9381,73.9,69.1,84.97,240.0,3.0,0.0,29.91,1012.5,10.0,,FEW,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBDL 250055Z AUTO 24002KT 10SM CLR 23/21 A2990 RMK T02300210 MADISHF,M,D,2020-08-25 00:00:00,0,14986.78
2020-08-25 01:00:00,BDL,2020-08-25 01:55:00,-72.6825,41.9381,73.9,70.0,87.63,260.0,4.0,0.0,29.91,1012.1,10.0,,FEW,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBDL 250155Z AUTO 21002KT 10SM CLR 23/21 A2988 RMK T02300210 MADISHF,M,D,2020-08-25 01:00:00,1,14433.29
2020-08-25 02:00:00,BDL,2020-08-25 02:55:00,-72.6825,41.9381,72.0,70.0,93.43,230.0,5.0,0.0,29.89,1011.8,10.0,,FEW,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBDL 250255Z AUTO 19004KT 10SM CLR 23/21 A2987 RMK T02300210 MADISHF,M,D,2020-08-25 02:00:00,2,14152.24
2020-08-25 03:00:00,BDL,2020-08-25 03:55:00,-72.6825,41.9381,73.0,70.0,90.32,230.0,5.0,0.0,29.88,1011.6,10.0,,FEW,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBDL 250355Z AUTO 23002KT 10SM CLR 22/21 A2987 RMK T02200210 MADISHF,M,D,2020-08-25 03:00:00,3,13846.08
2020-08-25 04:00:00,BDL,2020-08-25 04:55:00,-72.6825,41.9381,72.0,70.0,93.43,190.0,5.0,0.0,29.88,1011.3,10.0,,SCT,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBDL 250455Z AUTO 00000KT 10SM CLR 22/21 A2987 RMK T02200210 MADISHF,M,D,2020-08-25 04:00:00,4,13872.55
2020-08-25 05:00:00,BDL,2020-08-25 05:51:00,-72.6825,41.9381,71.1,69.1,93.4,190.0,4.0,0.0,29.87,1010.8,10.0,,FEW,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBDL 250551Z 19004KT 8SM FEW180 22/21 A2985 RMK AO2 SLP108 T02170206 10250 20206 58010,M,D,2020-08-25 05:00:00,5,14420.1
2020-08-25 06:00:00,BDL,2020-08-25 06:51:00,-72.6825,41.9381,71.1,69.1,93.4,200.0,5.0,0.0,29.86,1010.3,10.0,,FEW,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBDL 250651Z 00000KT 9SM FEW180 22/21 A2984 RMK AO2 SLP103 T02170206,M,D,2020-08-25 06:00:00,6,15115.68
2020-08-25 07:00:00,BDL,2020-08-25 07:55:00,-72.6825,41.9381,70.0,68.0,93.37,190.0,2.0,0.0,29.84,1009.6,10.0,,FEW,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBDL 250755Z AUTO 00000KT 10SM CLR 21/21 A2981 RMK T02100210 MADISHF,M,D,2020-08-25 07:00:00,7,15847.59
2020-08-25 08:00:00,BDL,2020-08-25 08:55:00,-72.6825,41.9381,68.0,66.0,93.32,290.0,4.0,0.0,29.82,1009.5,10.0,,FEW,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBDL 250855Z AUTO 00000KT 10SM CLR 20/19 A2980 RMK T02000190 MADISHF,M,D,2020-08-25 08:00:00,8,16618.39
2020-08-25 09:00:00,BDL,2020-08-25 09:55:00,-72.6825,41.9381,69.1,66.0,89.86,290.0,4.0,0.0,29.83,1009.6,10.0,,FEW,SCT,SCT,M,M,M,M,M,M,M,M,M,M,M,M,M,KBDL 250955Z AUTO 00000KT 10SM BKN075 21/19 A2981 RMK T02100190 MADISHF,M,D,2020-08-25 09:00:00,9,17459.65
